"文字","画数"
"側","11"
"巣","11"
"清","11"
"唱","11"
"産","11"
"菜","11"
"康","11"
"健","11"
"救","11"
"械","11"
"貨","11"
"問","11"
"部","11"
"動","11"
"都","11"
"転","11"
"笛","11"
"帳","11"
"第","11"
"族","11"
"進","11"
"深","11"
"章","11"
"商","11"
"宿","11"
"習","11"
"終","11"
"祭","11"
"球","11"
"悪","11"
"理","11"
"野","11"
"鳥","11"
"組","11"
"船","11"
"雪","11"
"週","11"
"細","11"
"黒","11"
"黄","11"
"教","11"
"強","11"
"魚","11"
"釘","10"
"狼","10"
"晄","10"
"晃","10"
"挺","10"
"挽","10"
"莊","10"
"砧","10"
"畠","10"
"郞","10"
"浩","10"
"俱","10"
"晏","10"
"晟","10"
"桐","10"
"套","10"
"峽","10"
"窄","10"
"朔","10"
"栖","10"
"柴","10"
"晒","10"
"峨","10"
"眞","10"
"矩","10"
"紘","10"
"莫","10"
"砥","10"
"栞","10"
"荻","10"
"祕","10"
"烏","10"
"笈","10"
"涉","10"
"紗","10"
"桔","10"
"娩","10"
"峯","10"
"閃","10"
"桂","10"
"祐","10"
"祖","10"
"秤","10"
"氣","10"
"莉","10"
"倦","10"
"赳","10"
"圃","10"
"訊","10"
"神","10"
"秦","10"
"凉","10"
"海","10"
"晋","10"
"莞","10"
"悔","10"
"悌","10"
"祝","10"
"啄","10"
"隼","10"
"臭","10"
"豹","10"
"哨","10"
"屑","10"
"凌","10"
"峻","10"
"紐","10"
"倖","10"
"乘","10"
"倭","10"
"狹","10"
"耽","10"
"恕","10"
"哩","10"
"桧","10"
"浬","10"
"栗","10"
"捗","10"
"脇","10"
"浪","10"
"恋","10"
"烈","10"
"涙","10"
"倫","10"
"竜","10"
"紋","10"
"耗","10"
"冥","10"
"娘","10"
"眠","10"
"埋","10"
"紡","10"
"剖","10"
"砲","10"
"峰","10"
"倣","10"
"俸","10"
"浦","10"
"捕","10"
"哺","10"
"紛","10"
"浮","10"
"敏","10"
"浜","10"
"姫","10"
"被","10"
"疲","10"
"般","10"
"畔","10"
"剝","10"
"悩","10"
"匿","10"
"胴","10"
"透","10"
"桃","10"
"唐","10"
"凍","10"
"倒","10"
"途","10"
"哲","10"
"逓","10"
"朕","10"
"酎","10"
"衷","10"
"秩","10"
"逐","10"
"畜","10"
"致","10"
"恥","10"
"託","10"
"泰","10"
"捉","10"
"桑","10"
"挿","10"
"捜","10"
"租","10"
"栓","10"
"扇","10"
"隻","10"
"脊","10"
"逝","10"
"凄","10"
"衰","10"
"粋","10"
"陣","10"
"浸","10"
"振","10"
"娠","10"
"唇","10"
"辱","10"
"称","10"
"祥","10"
"症","10"
"宵","10"
"徐","10"
"殉","10"
"准","10"
"袖","10"
"珠","10"
"殊","10"
"酌","10"
"疾","10"
"脂","10"
"恣","10"
"桟","10"
"索","10"
"剤","10"
"栽","10"
"宰","10"
"挫","10"
"唆","10"
"剛","10"
"貢","10"
"悟","10"
"娯","10"
"軒","10"
"拳","10"
"剣","10"
"兼","10"
"倹","10"
"桁","10"
"恵","10"
"脅","10"
"恭","10"
"恐","10"
"鬼","10"
"飢","10"
"既","10"
"陥","10"
"釜","10"
"核","10"
"蚊","10"
"華","10"
"俺","10"
"翁","10"
"宴","10"
"悦","10"
"畝","10"
"唄","10"
"挨","10"
"朗","10"
"陛","10"
"秘","10"
"班","10"
"俳","10"
"納","10"
"党","10"
"討","10"
"展","10"
"値","10"
"針","10"
"将","10"
"除","10"
"純","10"
"従","10"
"射","10"
"蚕","10"
"座","10"
"骨","10"
"降","10"
"胸","10"
"株","10"
"留","10"
"容","10"
"俵","10"
"破","10"
"能","10"
"造","10"
"素","10"
"修","10"
